t x y z yaw pitch roll vx vy vz wx wy wz
1.38 -4.00001 -4 2 0.75 9.08667e-10 -3.43949e-11 1.22888e-10 1.65477e-09 1.75918e-08 1.85375e-08 2.21419e-09 5.44744e-10
1.391 -4.00001 -4 2 0.75 7.85091e-10 3.50789e-10 2.06831e-10 1.7082e-09 1.6579e-08 3.91974e-08 2.11413e-08 5.76762e-10
1.401 -4.00001 -4 2 0.75 6.7415e-10 7.09336e-10 3.05051e-10 1.71172e-09 1.51277e-08 2.59852e-08 9.10001e-09 5.92286e-10
1.41 -4.00001 -4 2 0.75 5.74809e-10 7.61877e-10 3.98712e-10 1.68987e-09 1.31456e-08 -1.19266e-09 -1.61401e-08 5.79345e-10
1.42 -4.00001 -4 2 0.75 4.65893e-10 3.49193e-10 4.93308e-10 1.66725e-09 1.02308e-08 -4.15852e-08 -5.33908e-08 4.50463e-10
1.43 -4.00001 -4 2 0.75 3.59621e-10 -6.68639e-10 5.3545e-10 1.68066e-09 6.70903e-09 -8.90484e-08 -9.7453e-08 4.32124e-10
1.44 -4.00001 -4 2 0.75 2.50974e-10 -2.19561e-09 4.94148e-10 1.77959e-09 3.83837e-09 -1.10153e-07 -1.17305e-07 4.70454e-10
1.45 -4.00001 -4 2 0.75 1.33812e-10 -3.86956e-09 2.95078e-10 2.02546e-09 1.12031e-09 -9.46458e-08 -1.02704e-07 4.80976e-10
1.46 -4.00001 -4 2 0.75 2.7808e-11 -5.02955e-09 -8.95017e-13 2.35313e-09 -1.72597e-09 -6.18801e-08 -7.20934e-08 4.02723e-10
1.47 -4.00001 -4 2 0.75 -7.56379e-11 -5.65511e-09 -3.67318e-10 2.74609e-09 -5.07773e-09 -1.86822e-08 -3.13672e-08 3.26523e-10
1.48 -4.00001 -4 2 0.75 -1.67653e-10 -5.67352e-09 -7.27719e-10 3.11691e-09 -8.48443e-09 2.54932e-08 9.51567e-09 3.22918e-10
1.49 -4.00001 -4 2 0.75 -2.82142e-10 -4.92571e-09 -1.13985e-09 3.53521e-09 -1.30428e-08 8.33801e-08 6.3694e-08 3.65243e-10
1.5 -4.00001 -4 2 0.75 -3.84224e-10 -3.53342e-09 -1.46401e-09 3.83498e-09 -1.54416e-08 1.2502e-07 1.02524e-07 3.70205e-10
