x y z
2.45872 -0.571797 1.06527
2.468 -0.564939 1.06118
2.47713 -0.558109 1.0571
2.48609 -0.551307 1.05304
2.4949 -0.544534 1.04899
2.50354 -0.53779 1.04496
2.51202 -0.531077 1.04094
2.52033 -0.524394 1.03694
2.52847 -0.517744 1.03295
2.53644 -0.511126 1.02898
2.54424 -0.50454 1.02503
2.55187 -0.497989 1.02109
2.55932 -0.491472 1.01717
2.5666 -0.48499 1.01327
2.57369 -0.478543 1.00938
2.58061 -0.472133 1.00551
2.58735 -0.465759 1.00166
2.59391 -0.459422 0.997819
2.60028 -0.453123 0.993999
2.60648 -0.446862 0.990197
2.61248 -0.440639 0.986411
2.61831 -0.434456 0.982643
2.62395 -0.428312 0.978891
2.6294 -0.422208 0.975157
2.63467 -0.416145 0.971439
2.63975 -0.410122 0.967739
2.64465 -0.40414 0.964055
2.64936 -0.398199 0.960388
2.65388 -0.392299 0.956737
2.65822 -0.386442 0.953104
2.66237 -0.380627 0.949486
2.66633 -0.374854 0.945885
2.67011 -0.369123 0.9423
2.6737 -0.363435 0.938732
2.67711 -0.35779 0.935179
2.68033 -0.352188 0.931641
2.68337 -0.346628 0.928119
2.68623 -0.341112 0.924613
2.6889 -0.335639 0.921121
2.6914 -0.330209 0.917644
2.69371 -0.324823 0.914182
2.69585 -0.319479 0.910734
2.69781 -0.314179 0.9073
2.69959 -0.308922 0.903879
2.70121 -0.303707 0.900472
2.70264 -0.298536 0.897078
2.70391 -0.293407 0.893697
2.70501 -0.28832 0.890328
2.70595 -0.283276 0.886971
2.70671 -0.278274 0.883626
2.70732 -0.273314 0.880292
2.70777 -0.268395 0.876969
2.70805 -0.263518 0.873656
2.70819 -0.258682 0.870354
2.70817 -0.253886 0.867061
2.70799 -0.24913 0.863777
2.70768 -0.244414 0.860502
2.70721 -0.239738 0.857236
2.70661 -0.235101 0.853977
2.70587 -0.230502 0.850726
2.70499 -0.225942 0.847482
2.70398 -0.221419 0.844244
2.70284 -0.216933 0.841012
2.70157 -0.212483 0.837785
2.70018 -0.20807 0.834564
2.69867 -0.203691 0.831347
2.69705 -0.199348 0.828133
2.69532 -0.195039 0.824923
2.69348 -0.190763 0.821716
2.69153 -0.18652 0.818511
2.68948 -0.182309 0.815308
2.68734 -0.178129 0.812105
2.68511 -0.173981 0.808904
2.68279 -0.169862 0.805702
2.68038 -0.165772 0.802499
2.6779 -0.161711 0.799296
2.67534 -0.157678 0.796091
2.6727 -0.153671 0.792883
2.67001 -0.149691 0.789673
2.66725 -0.145735 0.786459
2.66443 -0.141805 0.78324
2.66156 -0.137897 0.780018
2.65865 -0.134013 0.77679
